PING 10.2.0.11 (10.2.0.11) 56(84) bytes of data.
64 bytes from 10.2.0.11: icmp_seq=181 ttl=64 time=0.448 ms
64 bytes from 10.2.0.11: icmp_seq=182 ttl=64 time=0.567 ms
64 bytes from 10.2.0.11: icmp_seq=183 ttl=64 time=0.513 ms
64 bytes from 10.2.0.11: icmp_seq=184 ttl=64 time=0.472 ms
64 bytes from 10.2.0.11: icmp_seq=185 ttl=64 time=0.562 ms
64 bytes from 10.2.0.11: icmp_seq=186 ttl=64 time=0.572 ms
64 bytes from 10.2.0.11: icmp_seq=187 ttl=64 time=0.547 ms
64 bytes from 10.2.0.11: icmp_seq=188 ttl=64 time=0.513 ms
64 bytes from 10.2.0.11: icmp_seq=189 ttl=64 time=0.535 ms
64 bytes from 10.2.0.11: icmp_seq=190 ttl=64 time=0.584 ms
64 bytes from 10.2.0.11: icmp_seq=191 ttl=64 time=2.74 ms
64 bytes from 10.2.0.11: icmp_seq=192 ttl=64 time=0.646 ms
64 bytes from 10.2.0.11: icmp_seq=193 ttl=64 time=0.542 ms
64 bytes from 10.2.0.11: icmp_seq=194 ttl=64 time=0.559 ms
64 bytes from 10.2.0.11: icmp_seq=195 ttl=64 time=0.558 ms
64 bytes from 10.2.0.11: icmp_seq=196 ttl=64 time=0.519 ms
64 bytes from 10.2.0.11: icmp_seq=197 ttl=64 time=0.526 ms
64 bytes from 10.2.0.11: icmp_seq=198 ttl=64 time=0.509 ms
64 bytes from 10.2.0.11: icmp_seq=199 ttl=64 time=0.444 ms
64 bytes from 10.2.0.11: icmp_seq=200 ttl=64 time=0.531 ms
64 bytes from 10.2.0.11: icmp_seq=201 ttl=64 time=0.511 ms
64 bytes from 10.2.0.11: icmp_seq=202 ttl=64 time=0.663 ms
64 bytes from 10.2.0.11: icmp_seq=203 ttl=64 time=0.605 ms
64 bytes from 10.2.0.11: icmp_seq=204 ttl=64 time=0.629 ms
64 bytes from 10.2.0.11: icmp_seq=205 ttl=64 time=0.525 ms
64 bytes from 10.2.0.11: icmp_seq=206 ttl=64 time=0.536 ms
64 bytes from 10.2.0.11: icmp_seq=207 ttl=64 time=0.567 ms
64 bytes from 10.2.0.11: icmp_seq=208 ttl=64 time=0.621 ms
64 bytes from 10.2.0.11: icmp_seq=209 ttl=64 time=0.542 ms
64 bytes from 10.2.0.11: icmp_seq=210 ttl=64 time=0.568 ms
64 bytes from 10.2.0.11: icmp_seq=211 ttl=64 time=0.599 ms
64 bytes from 10.2.0.11: icmp_seq=212 ttl=64 time=0.541 ms
64 bytes from 10.2.0.11: icmp_seq=213 ttl=64 time=0.590 ms
64 bytes from 10.2.0.11: icmp_seq=214 ttl=64 time=0.591 ms
64 bytes from 10.2.0.11: icmp_seq=215 ttl=64 time=0.522 ms
64 bytes from 10.2.0.11: icmp_seq=216 ttl=64 time=0.584 ms
64 bytes from 10.2.0.11: icmp_seq=217 ttl=64 time=0.645 ms
64 bytes from 10.2.0.11: icmp_seq=218 ttl=64 time=0.612 ms
64 bytes from 10.2.0.11: icmp_seq=219 ttl=64 time=0.547 ms
64 bytes from 10.2.0.11: icmp_seq=220 ttl=64 time=0.537 ms
64 bytes from 10.2.0.11: icmp_seq=221 ttl=64 time=0.647 ms
64 bytes from 10.2.0.11: icmp_seq=222 ttl=64 time=0.574 ms
64 bytes from 10.2.0.11: icmp_seq=223 ttl=64 time=0.517 ms
64 bytes from 10.2.0.11: icmp_seq=224 ttl=64 time=0.545 ms
64 bytes from 10.2.0.11: icmp_seq=225 ttl=64 time=0.548 ms
64 bytes from 10.2.0.11: icmp_seq=226 ttl=64 time=0.551 ms
64 bytes from 10.2.0.11: icmp_seq=227 ttl=64 time=0.549 ms
64 bytes from 10.2.0.11: icmp_seq=228 ttl=64 time=0.555 ms
64 bytes from 10.2.0.11: icmp_seq=229 ttl=64 time=0.540 ms
64 bytes from 10.2.0.11: icmp_seq=230 ttl=64 time=0.527 ms
64 bytes from 10.2.0.11: icmp_seq=231 ttl=64 time=0.543 ms
64 bytes from 10.2.0.11: icmp_seq=232 ttl=64 time=0.533 ms
64 bytes from 10.2.0.11: icmp_seq=233 ttl=64 time=0.530 ms
64 bytes from 10.2.0.11: icmp_seq=234 ttl=64 time=2.29 ms
64 bytes from 10.2.0.11: icmp_seq=235 ttl=64 time=0.642 ms
64 bytes from 10.2.0.11: icmp_seq=236 ttl=64 time=0.511 ms
64 bytes from 10.2.0.11: icmp_seq=237 ttl=64 time=0.506 ms
64 bytes from 10.2.0.11: icmp_seq=238 ttl=64 time=0.517 ms
64 bytes from 10.2.0.11: icmp_seq=239 ttl=64 time=0.546 ms
