PING 10.2.0.13 (10.2.0.13) 56(84) bytes of data.
64 bytes from 10.2.0.13: icmp_seq=234 ttl=64 time=0.771 ms
64 bytes from 10.2.0.13: icmp_seq=235 ttl=64 time=0.896 ms
64 bytes from 10.2.0.13: icmp_seq=236 ttl=64 time=0.932 ms
64 bytes from 10.2.0.13: icmp_seq=237 ttl=64 time=0.728 ms
64 bytes from 10.2.0.13: icmp_seq=238 ttl=64 time=0.796 ms
64 bytes from 10.2.0.13: icmp_seq=239 ttl=64 time=0.819 ms
64 bytes from 10.2.0.13: icmp_seq=240 ttl=64 time=0.727 ms
64 bytes from 10.2.0.13: icmp_seq=241 ttl=64 time=0.744 ms
64 bytes from 10.2.0.13: icmp_seq=242 ttl=64 time=0.749 ms
64 bytes from 10.2.0.13: icmp_seq=243 ttl=64 time=0.798 ms
64 bytes from 10.2.0.13: icmp_seq=244 ttl=64 time=0.792 ms
64 bytes from 10.2.0.13: icmp_seq=245 ttl=64 time=0.747 ms
64 bytes from 10.2.0.13: icmp_seq=246 ttl=64 time=0.725 ms
64 bytes from 10.2.0.13: icmp_seq=247 ttl=64 time=0.803 ms
64 bytes from 10.2.0.13: icmp_seq=248 ttl=64 time=0.779 ms
64 bytes from 10.2.0.13: icmp_seq=249 ttl=64 time=0.807 ms
64 bytes from 10.2.0.13: icmp_seq=250 ttl=64 time=0.802 ms
64 bytes from 10.2.0.13: icmp_seq=251 ttl=64 time=0.795 ms
64 bytes from 10.2.0.13: icmp_seq=252 ttl=64 time=0.748 ms
64 bytes from 10.2.0.13: icmp_seq=253 ttl=64 time=0.959 ms
64 bytes from 10.2.0.13: icmp_seq=254 ttl=64 time=0.752 ms
64 bytes from 10.2.0.13: icmp_seq=255 ttl=64 time=1.02 ms
64 bytes from 10.2.0.13: icmp_seq=256 ttl=64 time=0.676 ms
64 bytes from 10.2.0.13: icmp_seq=257 ttl=64 time=0.846 ms
64 bytes from 10.2.0.13: icmp_seq=258 ttl=64 time=0.671 ms
64 bytes from 10.2.0.13: icmp_seq=259 ttl=64 time=0.876 ms
64 bytes from 10.2.0.13: icmp_seq=260 ttl=64 time=0.709 ms
64 bytes from 10.2.0.13: icmp_seq=261 ttl=64 time=0.714 ms
64 bytes from 10.2.0.13: icmp_seq=262 ttl=64 time=0.813 ms
64 bytes from 10.2.0.13: icmp_seq=263 ttl=64 time=0.840 ms
64 bytes from 10.2.0.13: icmp_seq=264 ttl=64 time=2.34 ms
64 bytes from 10.2.0.13: icmp_seq=265 ttl=64 time=0.790 ms
64 bytes from 10.2.0.13: icmp_seq=266 ttl=64 time=0.834 ms
64 bytes from 10.2.0.13: icmp_seq=267 ttl=64 time=0.728 ms
64 bytes from 10.2.0.13: icmp_seq=268 ttl=64 time=0.724 ms
64 bytes from 10.2.0.13: icmp_seq=269 ttl=64 time=0.848 ms
64 bytes from 10.2.0.13: icmp_seq=270 ttl=64 time=0.813 ms
64 bytes from 10.2.0.13: icmp_seq=271 ttl=64 time=0.745 ms
64 bytes from 10.2.0.13: icmp_seq=272 ttl=64 time=0.752 ms
64 bytes from 10.2.0.13: icmp_seq=273 ttl=64 time=0.743 ms
64 bytes from 10.2.0.13: icmp_seq=274 ttl=64 time=0.813 ms
64 bytes from 10.2.0.13: icmp_seq=275 ttl=64 time=0.849 ms
64 bytes from 10.2.0.13: icmp_seq=276 ttl=64 time=0.755 ms
64 bytes from 10.2.0.13: icmp_seq=277 ttl=64 time=0.831 ms
64 bytes from 10.2.0.13: icmp_seq=278 ttl=64 time=0.861 ms
64 bytes from 10.2.0.13: icmp_seq=279 ttl=64 time=0.748 ms
64 bytes from 10.2.0.13: icmp_seq=280 ttl=64 time=0.834 ms
64 bytes from 10.2.0.13: icmp_seq=281 ttl=64 time=0.780 ms
64 bytes from 10.2.0.13: icmp_seq=282 ttl=64 time=0.873 ms
64 bytes from 10.2.0.13: icmp_seq=283 ttl=64 time=0.949 ms
64 bytes from 10.2.0.13: icmp_seq=284 ttl=64 time=0.782 ms
64 bytes from 10.2.0.13: icmp_seq=285 ttl=64 time=0.761 ms
64 bytes from 10.2.0.13: icmp_seq=286 ttl=64 time=0.802 ms
64 bytes from 10.2.0.13: icmp_seq=287 ttl=64 time=0.722 ms
64 bytes from 10.2.0.13: icmp_seq=288 ttl=64 time=0.850 ms
64 bytes from 10.2.0.13: icmp_seq=289 ttl=64 time=0.859 ms
64 bytes from 10.2.0.13: icmp_seq=290 ttl=64 time=0.648 ms
64 bytes from 10.2.0.13: icmp_seq=291 ttl=64 time=0.786 ms
64 bytes from 10.2.0.13: icmp_seq=292 ttl=64 time=0.737 ms
64 bytes from 10.2.0.13: icmp_seq=293 ttl=64 time=0.697 ms
64 bytes from 10.2.0.13: icmp_seq=294 ttl=64 time=0.765 ms
64 bytes from 10.2.0.13: icmp_seq=295 ttl=64 time=0.721 ms

--- 10.2.0.13 ping statistics ---
295 packets transmitted, 295 received, 0% packet loss, time 59877ms
rtt min/avg/max/mdev = 0.602/0.917/14.687/1.078 ms
