PING 192.168.1.13 (192.168.1.13) 56(84) bytes of data.
64 bytes from 192.168.1.13: icmp_seq=277 ttl=64 time=0.877 ms
64 bytes from 192.168.1.13: icmp_seq=278 ttl=64 time=1.00 ms
64 bytes from 192.168.1.13: icmp_seq=279 ttl=64 time=0.924 ms
64 bytes from 192.168.1.13: icmp_seq=280 ttl=64 time=0.865 ms
64 bytes from 192.168.1.13: icmp_seq=281 ttl=64 time=0.974 ms
64 bytes from 192.168.1.13: icmp_seq=282 ttl=64 time=0.959 ms
64 bytes from 192.168.1.13: icmp_seq=283 ttl=64 time=0.946 ms
64 bytes from 192.168.1.13: icmp_seq=284 ttl=64 time=0.897 ms
64 bytes from 192.168.1.13: icmp_seq=285 ttl=64 time=1.22 ms
64 bytes from 192.168.1.13: icmp_seq=286 ttl=64 time=0.876 ms
64 bytes from 192.168.1.13: icmp_seq=287 ttl=64 time=0.783 ms
64 bytes from 192.168.1.13: icmp_seq=288 ttl=64 time=0.932 ms
64 bytes from 192.168.1.13: icmp_seq=289 ttl=64 time=0.886 ms
64 bytes from 192.168.1.13: icmp_seq=290 ttl=64 time=1.72 ms
64 bytes from 192.168.1.13: icmp_seq=291 ttl=64 time=1.01 ms
64 bytes from 192.168.1.13: icmp_seq=292 ttl=64 time=0.952 ms
64 bytes from 192.168.1.13: icmp_seq=293 ttl=64 time=0.890 ms
64 bytes from 192.168.1.13: icmp_seq=294 ttl=64 time=1.08 ms
64 bytes from 192.168.1.13: icmp_seq=295 ttl=64 time=1.09 ms
64 bytes from 192.168.1.13: icmp_seq=296 ttl=64 time=1.02 ms
64 bytes from 192.168.1.13: icmp_seq=297 ttl=64 time=0.759 ms
64 bytes from 192.168.1.13: icmp_seq=298 ttl=64 time=0.984 ms
64 bytes from 192.168.1.13: icmp_seq=299 ttl=64 time=0.917 ms

--- 192.168.1.13 ping statistics ---
299 packets transmitted, 299 received, 0% packet loss, time 59979ms
rtt min/avg/max/mdev = 0.710/0.967/1.729/0.155 ms
